Frecuencia (Hz)	volumen (dB)
2454,785156	-93,767662
2457,476807	-94,997635
2460,168457	-94,006096
2462,860107	-94,290817
2465,551758	-95,147789
2468,243408	-93,845970
2470,935059	-95,687721
2473,626709	-96,213028
2476,318359	-95,453964
2479,010010	-95,949028
2481,701660	-95,836670
2484,393311	-95,063316
2487,084961	-95,688347
2489,776611	-94,347839
2492,468262	-94,129494
2495,159912	-95,759918
2497,851563	-95,807182
2500,543213	-94,348335
2503,234863	-93,877846
2505,926514	-94,712151
2508,618164	-96,121246
2511,309814	-94,517929
2514,001465	-95,943573
2516,693115	-95,968338
2519,384766	-95,511215
2522,076416	-94,241982
2524,768066	-95,869530
2527,459717	-95,239502
2530,151367	-93,394348
2532,843018	-94,773796
2535,534668	-96,685707
2538,226318	-97,782974
2540,917969	-95,230782
2543,609619	-94,729042
2546,301270	-95,453102
2548,992920	-96,249298
2551,684570	-95,459824
2554,376221	-94,090714
2557,067871	-94,814514
2559,759521	-94,194160
2562,451172	-93,599754
2565,142822	-93,493500
2567,834473	-93,922447
2570,526123	-94,286240
2573,217773	-93,918365
2575,909424	-94,969604
2578,601074	-96,544350
2581,292725	-94,587830
2583,984375	-94,142601
2586,676025	-94,610069
2589,367676	-94,980103
2592,059326	-95,564308
2594,750977	-95,780792
2597,442627	-94,395287
2600,134277	-95,352486
2602,825928	-95,132721
2605,517578	-95,115425
2608,209229	-95,128731
2610,900879	-95,264030
2613,592529	-94,864342
2616,284180	-96,599380
2618,975830	-95,318443
2621,667480	-95,827576
2624,359131	-94,032318
2627,050781	-95,030533
2629,742432	-94,564049
2632,434082	-92,617233
2635,125732	-94,396156
2637,817383	-93,701843
2640,509033	-93,669731
2643,200684	-94,887161
2645,892334	-94,598297
2648,583984	-94,874252
2651,275635	-95,874084
2653,967285	-97,691803
2656,658936	-96,079781
2659,350586	-95,205414
2662,042236	-96,301712
2664,733887	-96,587624
2667,425537	-95,789009
2670,117188	-95,923454
2672,808838	-94,578102
2675,500488	-94,926857
2678,192139	-95,553627
2680,883789	-94,803650
2683,575439	-95,559479
2686,267090	-95,446266
2688,958740	-94,850128
2691,650391	-96,184464
2694,342041	-95,183311
2697,033691	-96,705727
2699,725342	-95,807861
2702,416992	-94,452545
2705,108643	-94,042542
2707,800293	-94,321053
2710,491943	-94,282578
2713,183594	-95,257622
2715,875244	-94,567665
2718,566895	-94,914001
2721,258545	-95,693100
2723,950195	-96,101357
2726,641846	-93,755043
2729,333496	-93,796349
2732,025146	-94,675087
2734,716797	-94,092392
2737,408447	-90,512619
2740,100098	-94,344589
2742,791748	-96,206245
2745,483398	-94,951675
2748,175049	-94,960373
2750,866699	-95,253342
2753,558350	-93,948532
2756,250000	-93,039001
2758,941650	-95,846916
2761,633301	-94,615921
2764,324951	-95,505508
2767,016602	-94,697220
2769,708252	-94,100822
2772,399902	-95,719940
2775,091553	-95,307968
2777,783203	-94,568626
2780,474854	-95,479233
2783,166504	-96,244438
2785,858154	-94,954460
2788,549805	-96,267212
2791,241455	-96,407135
2793,933105	-95,414948
2796,624756	-95,363304
2799,316406	-96,116547
2802,008057	-94,632523
2804,699707	-94,365181
2807,391357	-94,965286
2810,083008	-96,275993
2812,774658	-94,285706
2815,466309	-95,005508
2818,157959	-95,786827
2820,849609	-94,821510
2823,541260	-95,842606
2826,232910	-95,792976
2828,924561	-97,272591
2831,616211	-94,796066
2834,307861	-95,727928
2836,999512	-93,026840
2839,691162	-92,948212
2842,382813	-95,122864
2845,074463	-93,759987
2847,766113	-93,616333
2850,457764	-94,879181
2853,149414	-95,521431
2855,841064	-95,969063
2858,532715	-94,142982
2861,224365	-95,497971
2863,916016	-95,577026
2866,607666	-94,443489
2869,299316	-95,049057
2871,990967	-95,105499
2874,682617	-93,732811
2877,374268	-93,437454
2880,065918	-94,953468
