Frecuencia (Hz)	volumen (dB)
2077,954102	-94,767242
2080,645752	-92,451012
2083,337402	-91,301498
2086,029053	-92,177544
2088,720703	-91,910606
2091,412354	-91,824539
2094,104004	-92,210426
2096,795654	-91,905510
2099,487305	-94,024361
2102,178955	-94,276520
2104,870605	-93,475182
2107,562256	-93,666580
2110,253906	-93,111732
2112,945557	-94,101479
2115,637207	-92,897217
2118,328857	-92,571480
2121,020508	-92,838768
2123,712158	-95,408836
2126,403809	-93,971573
2129,095459	-93,370430
2131,787109	-93,127548
2134,478760	-94,146820
2137,170410	-95,090721
2139,862061	-93,660378
2142,553711	-93,171783
2145,245361	-94,864456
2147,937012	-95,162605
2150,628662	-94,046410
2153,320313	-94,136620
2156,011963	-93,804169
2158,703613	-94,959755
2161,395264	-95,195778
2164,086914	-94,309593
2166,778564	-94,627083
2169,470215	-93,101120
2172,161865	-92,109962
2174,853516	-93,549698
2177,545166	-92,647484
2180,236816	-93,546989
2182,928467	-93,305023
2185,620117	-90,862999
2188,311768	-92,494308
2191,003418	-93,146629
2193,695068	-92,774231
2196,386719	-91,284637
2199,078369	-90,995934
2201,770020	-92,639847
2204,461670	-92,968208
2207,153320	-92,988693
2209,844971	-93,748322
2212,536621	-93,403572
2215,228271	-92,030960
2217,919922	-92,771385
2220,611572	-94,845451
2223,303223	-94,052788
2225,994873	-93,551788
2228,686523	-92,660355
2231,378174	-92,953751
2234,069824	-93,117867
2236,761475	-93,525436
2239,453125	-93,846176
2242,144775	-93,913200
2244,836426	-92,991302
2247,528076	-94,691811
2250,219727	-93,514755
2252,911377	-93,338768
2255,603027	-93,027451
2258,294678	-92,879959
2260,986328	-93,551987
2263,677979	-92,284828
2266,369629	-93,760620
2269,061279	-94,271683
2271,752930	-92,385086
2274,444580	-93,008522
2277,136230	-93,647667
2279,827881	-90,372002
2282,519531	-91,838898
2285,211182	-93,199623
2287,902832	-94,508308
2290,594482	-94,007179
2293,286133	-91,787468
2295,977783	-93,419472
2298,669434	-94,884331
2301,361084	-91,542709
2304,052734	-93,554062
2306,744385	-92,790421
2309,436035	-92,659149
2312,127686	-94,976166
2314,819336	-94,618477
2317,510986	-93,187775
2320,202637	-93,026840
2322,894287	-94,267555
2325,585938	-93,404938
2328,277588	-94,475395
2330,969238	-93,851730
2333,660889	-94,318634
2336,352539	-93,625259
2339,044189	-94,092216
2341,735840	-94,413208
2344,427490	-93,873718
2347,119141	-94,107643
2349,810791	-93,672470
2352,502441	-93,079208
2355,194092	-94,210381
2357,885742	-93,708138
2360,577393	-93,809685
2363,269043	-93,429764
2365,960693	-94,244545
2368,652344	-94,273613
2371,343994	-94,582527
2374,035645	-94,446716
2376,727295	-94,242844
2379,418945	-95,375542
2382,110596	-94,187775
2384,802246	-93,585793
2387,493896	-95,153435
2390,185547	-95,642166
2392,877197	-94,978577
2395,568848	-95,359161
2398,260498	-95,493614
2400,952148	-94,444199
2403,643799	-94,295082
2406,335449	-94,294403
2409,027100	-94,665268
2411,718750	-94,610107
2414,410400	-94,270500
2417,102051	-94,447685
2419,793701	-95,204010
2422,485352	-95,918228
2425,177002	-96,735909
2427,868652	-96,889000
2430,560303	-94,431519
2433,251953	-94,830948
2435,943604	-95,047356
2438,635254	-95,344666
2441,326904	-94,813576
2444,018555	-94,598778
2446,710205	-94,758308
2449,401855	-93,708794
2452,093506	-93,432556
2454,785156	-95,266289
2457,476807	-95,423470
2460,168457	-95,021660
2462,860107	-94,660255
2465,551758	-95,908173
2468,243408	-94,193436
2470,935059	-95,223511
2473,626709	-96,494514
2476,318359	-95,178871
2479,010010	-95,467796
2481,701660	-96,692795
2484,393311	-93,897614
2487,084961	-96,596474
2489,776611	-95,620514
2492,468262	-94,528969
2495,159912	-95,353806
2497,851563	-96,232262
2500,543213	-94,877586
2503,234863	-94,823914
2505,926514	-95,351570
2508,618164	-95,988274
2511,309814	-95,821121
2514,001465	-94,826950
2516,693115	-94,978737
2519,384766	-94,626472
2522,076416	-96,158958
2524,768066	-96,478134
2527,459717	-97,260201
2530,151367	-95,496704
2532,843018	-96,017075
2535,534668	-96,573433
2538,226318	-96,658981
2540,917969	-95,643654
2543,609619	-96,802666
2546,301270	-96,111267
2548,992920	-96,299828
2551,684570	-95,667206
2554,376221	-94,855118
2557,067871	-94,248665
2559,759521	-95,406845
2562,451172	-94,296799
2565,142822	-94,854568
2567,834473	-96,362808
2570,526123	-95,391937
2573,217773	-95,416695
2575,909424	-95,695679
2578,601074	-95,851479
2581,292725	-95,416229
2583,984375	-94,588943
2586,676025	-94,668274
2589,367676	-93,740326
2592,059326	-94,007599
2594,750977	-94,495392
2597,442627	-95,887077
2600,134277	-95,193657
2602,825928	-94,190895
2605,517578	-95,222725
2608,209229	-95,434647
2610,900879	-95,256859
2613,592529	-95,467682
2616,284180	-95,565445
2618,975830	-95,334770
2621,667480	-93,794395
2624,359131	-94,971962
2627,050781	-95,357155
2629,742432	-93,433159
2632,434082	-95,041977
2635,125732	-95,344261
2637,817383	-95,668732
2640,509033	-96,329475
2643,200684	-94,804276
2645,892334	-95,153236
2648,583984	-95,816689
2651,275635	-95,592957
2653,967285	-96,389305
2656,658936	-95,015846
2659,350586	-96,116066
2662,042236	-95,326302
2664,733887	-96,080139
2667,425537	-93,945953
2670,117188	-95,176346
2672,808838	-94,788864
2675,500488	-95,308159
2678,192139	-96,566467
2680,883789	-95,286560
2683,575439	-94,408852
2686,267090	-95,722878
2688,958740	-97,237236
2691,650391	-95,408890
2694,342041	-95,617706
2697,033691	-95,212845
2699,725342	-95,234314
2702,416992	-94,591881
2705,108643	-93,626404
2707,800293	-94,123840
2710,491943	-94,575287
2713,183594	-95,100204
2715,875244	-93,911232
2718,566895	-95,191994
2721,258545	-95,515030
2723,950195	-95,058456
2726,641846	-96,001801
2729,333496	-96,082825
2732,025146	-94,863144
2734,716797	-97,061859
2737,408447	-96,232201
2740,100098	-95,774475
2742,791748	-96,521355
2745,483398	-95,187286
2748,175049	-96,326645
2750,866699	-94,614021
2753,558350	-95,043259
2756,250000	-95,018181
2758,941650	-94,171242
2761,633301	-94,072495
2764,324951	-94,857002
2767,016602	-94,632973
2769,708252	-94,697929
2772,399902	-95,834724
2775,091553	-94,382813
2777,783203	-96,739960
2780,474854	-97,110016
2783,166504	-96,856964
2785,858154	-95,850372
2788,549805	-96,263496
2791,241455	-96,076889
2793,933105	-95,864517
