Frecuencia (Hz)	volumen (dB)
1838,397217	-97,611000
1841,088867	-97,894218
1843,780518	-98,712624
1846,472168	-95,492348
1849,163818	-95,254654
1851,855469	-95,106247
1854,547119	-97,100067
1857,238770	-97,598236
1859,930420	-94,788712
1862,622070	-95,670761
1865,313721	-93,249397
1868,005371	-94,957741
1870,697021	-95,778625
1873,388672	-96,690765
1876,080322	-97,538147
1878,771973	-97,202774
1881,463623	-97,555237
1884,155273	-95,501747
1886,846924	-96,695854
1889,538574	-96,991592
1892,230225	-98,488213
1894,921875	-97,339638
1897,613525	-98,749016
1900,305176	-97,025452
1902,996826	-96,200447
1905,688477	-98,264580
1908,380127	-97,479500
1911,071777	-96,614937
1913,763428	-97,876343
1916,455078	-96,168030
1919,146729	-96,801163
1921,838379	-96,929733
1924,530029	-97,031639
1927,221680	-96,381989
1929,913330	-97,208511
1932,604980	-96,785225
1935,296631	-95,247932
1937,988281	-95,978630
1940,679932	-94,874710
1943,371582	-96,403549
1946,063232	-96,911888
1948,754883	-96,410851
1951,446533	-96,281715
1954,138184	-97,948486
1956,829834	-97,128639
1959,521484	-95,127609
1962,213135	-95,521072
1964,904785	-95,907333
1967,596436	-97,819511
1970,288086	-97,239723
1972,979736	-97,596840
1975,671387	-96,029831
1978,363037	-97,674835
1981,054688	-97,526588
1983,746338	-96,293724
1986,437988	-95,956642
1989,129639	-96,237473
1991,821289	-97,341125
1994,512939	-96,258934
1997,204590	-96,556198
1999,896240	-96,209251
2002,587891	-97,132263
2005,279541	-95,479362
2007,971191	-95,933121
2010,662842	-96,620178
2013,354492	-95,695488
2016,046143	-94,384338
2018,737793	-97,471695
2021,429443	-96,498756
2024,121094	-96,356407
2026,812744	-95,895134
2029,504395	-95,519005
2032,196045	-94,971886
2034,887695	-97,154564
2037,579346	-95,582893
2040,270996	-95,743828
2042,962646	-96,423981
2045,654297	-95,066757
2048,345947	-95,863777
2051,037598	-97,054352
2053,729248	-95,135666
2056,420898	-95,469963
2059,112549	-94,514740
2061,804199	-95,572899
2064,495850	-95,644241
2067,187500	-94,649452
2069,879150	-95,647881
2072,570801	-94,172562
2075,262451	-94,611938
2077,954102	-93,811852
2080,645752	-94,705025
2083,337402	-92,835403
2086,029053	-93,746452
2088,720703	-94,002884
2091,412354	-93,883118
2094,104004	-92,240036
2096,795654	-94,741150
2099,487305	-94,049301
2102,178955	-95,035728
2104,870605	-95,243141
2107,562256	-94,603226
2110,253906	-94,781219
2112,945557	-93,090492
2115,637207	-95,077286
2118,328857	-95,265350
2121,020508	-95,277107
2123,712158	-94,096420
2126,403809	-94,369873
2129,095459	-94,512184
2131,787109	-94,956551
2134,478760	-93,647537
2137,170410	-94,284492
2139,862061	-94,531128
2142,553711	-96,054039
2145,245361	-93,728798
2147,937012	-95,641769
2150,628662	-96,754532
2153,320313	-94,138237
2156,011963	-94,239586
2158,703613	-93,411484
2161,395264	-94,520576
2164,086914	-95,741585
2166,778564	-93,850311
2169,470215	-95,141319
2172,161865	-93,694389
2174,853516	-92,736855
2177,545166	-93,891571
2180,236816	-95,592514
2182,928467	-93,417145
2185,620117	-94,252716
2188,311768	-94,829163
2191,003418	-93,205368
2193,695068	-94,661842
2196,386719	-93,694862
2199,078369	-93,624573
2201,770020	-93,317940
2204,461670	-94,217461
2207,153320	-96,331718
2209,844971	-93,000992
2212,536621	-94,643700
2215,228271	-95,653030
2217,919922	-94,347801
2220,611572	-93,295380
2223,303223	-94,354012
2225,994873	-94,883118
2228,686523	-94,090965
2231,378174	-93,853989
2234,069824	-95,107933
2236,761475	-92,759918
2239,453125	-94,721771
2242,144775	-94,751839
2244,836426	-95,208328
2247,528076	-95,501823
2250,219727	-94,634697
2252,911377	-95,243736
2255,603027	-96,114716
2258,294678	-93,864395
2260,986328	-94,185127
2263,677979	-95,525864
2266,369629	-95,257088
2269,061279	-94,412750
2271,752930	-93,949219
2274,444580	-93,862625
2277,136230	-93,660431
2279,827881	-91,524673
2282,519531	-94,613312
2285,211182	-95,210197
2287,902832	-94,999474
2290,594482	-94,442688
2293,286133	-96,169106
2295,977783	-94,489441
2298,669434	-94,479469
2301,361084	-95,972458
2304,052734	-94,868568
2306,744385	-96,173882
2309,436035	-94,255142
2312,127686	-94,501839
2314,819336	-94,087608
2317,510986	-97,300011
2320,202637	-96,434364
2322,894287	-94,539787
2325,585938	-95,726776
2328,277588	-95,433685
2330,969238	-94,045982
2333,660889	-95,014992
2336,352539	-95,066086
2339,044189	-95,839699
2341,735840	-96,246918
2344,427490	-95,587357
2347,119141	-95,885651
2349,810791	-96,434517
2352,502441	-96,126740
2355,194092	-96,182930
2357,885742	-96,188240
2360,577393	-95,056564
2363,269043	-96,827492
2365,960693	-96,104538
2368,652344	-96,568932
2371,343994	-94,759392
2374,035645	-97,185440
2376,727295	-96,994896
2379,418945	-94,835205
2382,110596	-94,264435
2384,802246	-95,664536
2387,493896	-94,645187
2390,185547	-95,918533
2392,877197	-96,016136
2395,568848	-96,577469
